ref_id,category,structure,description,verification_target,refs_version,static_evidence_level,static_analysis_notes,raw_analysis_notes
FS_OTBL_SA_009,File System,Object Table,"CmsObjectTable::DeleteIdentifier: removes OID from Object Table B+-tree. DOES NOT decrement counter — guarantees OIDs are never reused after deletion. 30 bytes (Insider, thin wrapper around DeleteRow).",No,all,E2 (insider),ObjectIdLifecycle.md §4.1. Code-level proof: no counter decrement in any version. Only calls DeleteRow on the B+-tree,"See ObjectIdLifecycle.md | DOWNGRADED to INFERRED 2026-06-18 (all-disk re-verify: offset/value RD-confirmed, semantic label not disk-checkable — was CONFIRMED): The observable consequence (no OID reuse, gaps=deletions) is CONFIRMED-ALLDISK via RA_006/RA_007; the function-internal 'no decrement' assertion is INFERRED from those plus E2 static."
FS_OTBL_SA_010,File System,Object Table,CmsObjectTable::InsertIntoParentChildTable: inserts [parent_OID child_OID] pair into Parent-Child Table (schema 0xe040). Called for every directory entry creation. Enables reverse lookup (find children of a parent). ~280 bytes (Insider).,No,all,E2 (insider),ObjectIdLifecycle.md §5.1. Same insert pattern across all versions. Key format: [0 parent_OID 0 child_OID],See ObjectIdLifecycle.md
GN_ARCH_SA_002,General,Architecture,DriverEntry initialization: registers IRP dispatch table (IRP_MJ_CREATE/CLEANUP/CLOSE/READ/WRITE/DEVICE_CONTROL/SET_INFORMATION/QUERY_INFORMATION/etc.). Initializes global state and registry configuration. ~7533 bytes Win10.,No,both,E2 (win10),See DriverEntry.md. PDB confirms all IRP handler registrations,
FS_SCHM_RA_009,File System,Schema Table,"Production v3.14 has 29 schemas (13 system + 16 attribute), not 30 (14+16). 14 system schemas is the Insider count (adds 0xe140 Vol Attestation). Errata E14.",Yes,3.14;insider,RD,schema tool output on 20 images confirms 13/16 split for v3.14 and 14/16 for Insider,All 14 v3.14 test images show 29 schemas; Insider shows 30
FS_VBR_RA_011,File System,Bootstrap Chain,"VBR format-time fields (0x2A checksum algo, 0x2C volume flags, 0x48 format GUID) are NEVER modified during version upgrade. Upgraded volumes retain original VBR values while CHKP shows new version.",Yes,both,RD,verify_static.py: decompiled code / function catalog evidence,Upgraded image: VBR 0x2A=0x0000/0x2C=0x06/0x48=not set but CHKP version=3.14 flags=0x602. Verified on win10to11refs4g_afterwin11mount.raw
FS_SCHM_RA_010,File System,Schema Table,Schema 0x160 = Reparse Index (naming correction). Previously unnamed or mislabeled as Security Descriptor in some contexts.,Yes,3.7+,E1+RD,Schema tool output shows Reparse Index label from PDB,Present in all v3.7+ images; absent in v3.4
FS_SCHM_RA_011,File System,Schema Table,"Schema counts per version verified: v3.4=27(15+12), v3.7=30(15+15), v3.9=31(16+15), v3.10=30(15+15), v3.14=29(13+16), Insider=30(14+16) [E53]. Complete evolution matrix.",Yes,all,RD,Schema tool on 6 version-representative images,"Exact counts match on all 20 test images | RE-VERIFIED 2026-06-18 (all-disk): claim: v3.4=27(15+12), v3.7=30(15+15), v3.9=31(16+15), v3.10=30(15+15), v3.14=29(13+16), Insider=30(14+16) [E53] — disk: v3.4=27, v3.7=30, v3.9=31, v3.10=30 (each +2 from omitted legacy 0x004+0x006); v3.14=29 and Insider=30 MATCH"
AP_REDO_040,Application,MLog,"MLog opcode-to-operation sequences: CREATE=INSERT+INSERT+SET_OBJREC (99.9%), DELETE=DELETE/DEL_TABLE chain, RENAME=DELETE+DELETE+INSERT+INSERT, MOVE=DELETE+REPARENT+INSERT. 15 opcodes observed on v3.14 (of 37), 12 on v3.4.",Yes,both,RD,,245K+ transactions across 5 images. v3.4 opcode 0x04 at 27% replaced by 0x10+0x1F in v3.14. Report: report_mlog_opcode_sequences.txt
FS_VBR_RA_012,File System,VBR,VBR+0x48 Extended GUID populated on ALL native v3.10+ volumes (93/113 images). ZERO on v3.4/v3.7/v3.9 and upgraded volumes. Boundary is v3.10 (not v3.14). VBR is format-time only — upgrade never rewrites it. 4 zero-GUID v3.14 images identifiable by chksum_algo=0x0000 (pre-v3.14 format).,Yes,both,RD,,113 images surveyed. 2 v3.10 images confirm v3.10 boundary. Original structure_reference.md claim 'pre-v3.10' was correct. Report: report_extended_guid_static.txt
AP_LGFL_RA_007,Application,Logfile,MLog FOUR-layer model (resolves B2b): each data page = a LogCore data record. L1 = 0x78 (120)-byte record header (sig@0x00 + per-volume-magic@0x04 NOT-CRC + ver=1@0x08 + log-block-size-0x1000@0x0C + UUID@0x10 + counter@0x20 + LSN@0x28 + prevLSN@0x30 + length-in-4K-blocks@0x38/0x3C + entry-offset@0x54=0x78). L2 = entry header @record+0x78 (LSN@+0x00 + checksum@+0x08 + payload-len@+0x20 + payload-offset@+0x28 + type@+0x30=2-data/1-control). L3 = redo block _SmsRedoHeader @record+0xB0. L4 = _SmsRedoRecord entries.,Yes,both,E2+RD,LogCoreWriteDataRecord + LogCoreScanDataRecord + LogValidateEntryHeader + LogInitializeEntryHeader; offsets identical in win10 (v3.4) win11 (v3.14) and insider. Entry payload-offset value is version-dependent: 0x38 (v3.4-v3.14) vs 0x40 (Insider; entry header 56->64B; redo block 0xB0->0xB8).,probe_logcore_record.py PASS on 10 images (v3.4/3.7/3.14/upgraded/compression/262K-record/Insider-4K+64K). 0x0C stays 0x1000 on a 64K-cluster volume (proves log-block-size != cluster-size). LSN chains prevLSN[n]==LSN[n-1] pre circular-buffer-wrap.
